City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,sabaoani,RO,47.0167,26.85,66.94,68,93,5.32,overcast clouds
82,atuona,PF,-9.8,-139.0333,77.54,80,21,20.71,light rain
83,constitucion,CL,-35.3333,-72.4167,49.87,89,1,12.28,clear sky
84,touros,BR,-5.1989,-35.4608,74.3,85,5,14.14,clear sky
85,tocopilla,CL,-22.092,-70.1979,60.3,70,24,2.71,few clouds
86,saint-philippe,RE,-21.3585,55.7679,73.22,75,6,2.62,clear sky
87,meiktila,MM,20.8667,95.8667,76.05,90,100,8.55,overcast clouds
88,bogande,BF,12.9714,-0.1436,77.22,70,80,4.59,light rain
89,anadyr,RU,64.75,177.4833,43.3,65,75,17.9,broken clouds
90,tarakan,ID,3.3,117.6333,81.9,83,40,6.91,scattered clouds
91,aiken,US,33.5835,-81.5998,71.15,98,90,3.44,overcast clouds
92,clyde river,CA,70.4692,-68.5914,29.25,75,79,5.59,broken clouds
93,san jose de gracia,MX,20.6667,-102.5833,59.16,95,92,1.86,overcast clouds
94,khani,GE,41.9563,42.9566,54.97,98,100,1.86,overcast clouds
95,marawi,PH,7.9986,124.2928,74.64,89,80,4.52,broken clouds
96,thompson,CA,55.7435,-97.8558,44.76,100,90,0.0,overcast clouds
97,palmer,US,42.1584,-72.3287,67.48,78,90,4.61,overcast clouds
98,nioki,CD,-2.7167,17.6833,70.56,95,100,2.71,overcast clouds
99,manturovo,RU,58.3353,44.7619,40.39,72,93,5.57,overcast clouds
100,peravurani,IN,10.3,79.1833,87.71,63,84,6.22,broken clouds
101,arraial do cabo,BR,-22.9661,-42.0278,69.12,91,100,15.32,overcast clouds
102,jamestown,US,42.097,-79.2353,67.06,93,1,1.01,clear sky
103,victoria,HK,22.2855,114.1577,93.96,72,58,3.24,broken clouds
104,tezu,IN,27.9167,96.1667,78.28,85,100,0.74,moderate rain
105,pokhara,NP,28.2333,83.9833,69.67,94,100,3.15,overcast clouds
106,peace river,CA,56.2501,-117.286,41.31,87,20,2.3,few clouds
107,ellensburg,US,46.9965,-120.5479,58.64,50,100,3.0,overcast clouds
108,haapiti,PF,-17.5667,-149.8667,82.13,74,1,22.03,clear sky
109,betanzos,ES,43.2804,-8.2147,60.12,90,7,5.75,fog
110,kostomuksha,RU,64.571,30.5767,38.64,88,100,5.75,overcast clouds
111,el uvito,CO,7.2429,-72.6294,50.14,98,62,2.66,broken clouds
112,spring hill,US,28.4769,-82.5255,78.94,69,94,6.24,overcast clouds
113,lavrentiya,RU,65.5833,-171.0,37.62,62,100,3.2,overcast clouds
114,san quintin,MX,30.4833,-115.95,67.68,78,2,12.41,clear sky
115,bethel,US,41.3712,-73.414,70.72,90,100,1.99,overcast clouds
116,elko,US,41.0002,-115.5012,68.02,24,1,3.0,clear sky
117,grand gaube,MU,-20.0064,57.6608,70.38,89,33,3.0,scattered clouds
118,pudozh,RU,61.8099,36.5345,40.42,92,73,6.6,broken clouds
119,sasni,IN,27.7167,78.0833,74.35,90,100,18.07,overcast clouds
120,caravelas,BR,-17.7125,-39.2481,71.19,86,0,6.02,clear sky
121,consuegra,ES,39.4625,-3.608,66.2,61,70,2.62,broken clouds
122,reconquista,AR,-29.15,-59.65,54.9,71,1,6.73,clear sky
123,provideniya,RU,64.3833,-173.3,39.31,70,75,8.95,light rain
124,yanggu,CN,36.1106,115.7753,75.63,72,99,11.34,overcast clouds
125,kozulka,UA,50.0351,23.797,59.29,95,99,4.05,overcast clouds
126,coquimbo,CL,-29.9533,-71.3436,53.33,87,40,3.44,scattered clouds
127,ilo,PE,-17.6394,-71.3375,59.7,81,90,7.87,overcast clouds
128,fairbanks,US,64.8378,-147.7164,54.61,56,1,3.44,clear sky
129,kloulklubed,PW,7.0419,134.2556,76.71,92,99,13.56,moderate rain
130,rio grande,BR,-32.035,-52.0986,49.95,73,0,12.46,clear sky
131,mount isa,AU,-20.7333,139.5,96.57,11,1,8.05,clear sky
132,bengkulu,ID,-3.8004,102.2655,87.31,60,5,3.94,clear sky
133,leshukonskoye,RU,64.8989,45.7622,37.26,90,100,8.88,overcast clouds
134,contamana,PE,-7.3333,-75.0167,69.17,98,92,2.66,overcast clouds
135,berlevag,NO,70.8578,29.0864,41.67,76,100,13.15,overcast clouds
136,ilulissat,GL,69.2167,-51.1,13.41,70,1,6.22,clear sky
137,kjollefjord,NO,70.9457,27.3465,42.85,70,100,13.73,overcast clouds
138,bulgan,MN,48.8125,103.5347,62.02,54,32,3.47,scattered clouds
139,hambantota,LK,6.1241,81.1185,88.14,74,20,14.97,few clouds
140,batagay-alyta,RU,67.8006,130.4114,38.05,96,100,5.79,light rain
141,khor,RU,47.8861,134.9464,70.56,43,34,9.53,scattered clouds
142,batagay,RU,67.6333,134.6333,50.09,66,100,2.48,overcast clouds
143,east london,ZA,-33.0153,27.9116,54.54,62,0,12.66,clear sky
144,qaqortoq,GL,60.7167,-46.0333,39.61,70,98,6.89,overcast clouds
145,diamantino,BR,-14.4086,-56.4461,83.26,40,70,1.68,broken clouds
146,ferkessedougou,CI,9.6,-5.2,71.37,95,51,3.06,broken clouds
147,laguna,US,38.421,-121.4238,75.7,67,1,3.0,clear sky
148,bonthe,SL,7.5264,-12.505,75.34,88,98,4.47,light rain
149,hobart,AU,-42.8794,147.3294,58.26,56,75,5.01,light rain
150,port alfred,ZA,-33.5906,26.891,55.29,70,66,17.69,light rain
151,gourcy,BF,13.2167,-2.35,77.41,68,32,6.22,scattered clouds
152,new norfolk,AU,-42.7826,147.0587,57.92,40,54,5.77,light rain
153,nishihara,JP,26.1842,127.7558,87.08,79,75,10.36,broken clouds
154,port augusta,AU,-32.5,137.7667,69.94,30,100,5.35,overcast clouds
155,longyearbyen,SJ,78.2186,15.6401,40.84,87,75,0.0,broken clouds
156,te anau,NZ,-45.4167,167.7167,42.33,84,94,2.28,overcast clouds
157,mar del plata,AR,-38.0023,-57.5575,50.02,87,0,3.44,clear sky
158,ajdabiya,LY,30.7554,20.2263,70.79,77,0,7.74,clear sky
